Направление подготовки: Лечебное дело,,,,,,,
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
456,4031525,244,"Биология - 78
Химия - 78 Русский язык - 83",5,,1,Нет
457,3996099,244,"Биология - 77
Химия - 84 Русский язык - 75",8,,2,Нет
458,3905197,244,"Биология - 76
Химия - 88 Русский язык - 72",8,,2,Согласие
459,3588145,244,"Биология - 74
Химия - 95 Русский язык - 75",0,,2,Нет
460,3729356,244,"Биология - 72
Химия - 86 Русский язык - 81",5,,1,Нет
461,3913568,243,"Биология - 86
Химия - 79 Русский язык - 78",0,,2,Нет
462,4097983,243,"Биология - 85
Химия - 88 Русский язык - 67",3,,1,Нет
463,3630738,243,"Биология - 78
Химия - 90 Русский язык - 75",0,,3,Согласие
464,3817176,243,"Биология - 78
Химия - 90 Русский язык - 67",8,,4,Нет
465,3648994,243,"Биология - 77
Химия - 80 Русский язык - 86",0,,1,Нет
466,4090462,243,"Биология - 77
Химия - 80 Русский язык - 81",5,,1,Нет
467,3998801,243,"Биология - 75
Химия - 91 Русский язык - 72",5,,2,Нет
468,3875017,243,"Биология - 75
Химия - 79 Русский язык - 81",8,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
469,3953107,243,"Биология - 74
Химия - 86 Русский язык - 75",8,,3,Нет
470,3757863,243,"Биология - 72
Химия - 93 Русский язык - 73",5,,1,Нет
471,3741065,243,"Биология - 72
Химия - 91 Русский язык - 80",0,,1,Нет
472,4119363,243,"Биология - 72
Химия - 80 Русский язык - 81",10,Пр.право,3,Нет
473,3914644,243,"Биология - 68
Химия - 79 Русский язык - 86",10,,1,Нет
474,3947431,243,"Биология - 65
Химия - 97 Русский язык - 73",8,,3,Нет
475,4182335,242,"Биология - 80
Химия - 93 Русский язык - 64",5,,5,Нет
476,3954037,242,"Биология - 77
Химия - 84 Русский язык - 73",8,,2,Нет
477,3661447,242,"Биология - 76
Химия - 93 Русский язык - 73",0,,2,Согласие
478,3940281,242,"Биология - 76
Химия - 86 Русский язык - 75",5,,2,Нет
479,3855565,242,"Биология - 76
Химия - 77 Русский язык - 86",3,,1,Нет
480,3741016,242,"Биология - 75
Химия - 79 Русский язык - 78",10,,1,Нет
481,3947448,242,"Биология - 74
Химия - 90 Русский язык - 78",0,,4,Нет
482,3615540,242,"Биология - 74
Химия - 88 Русский язык - 75",5,,1,Нет
483,4099562,242,"Биология - 74
Химия - 86 Русский язык - 81",1,,2,Нет
484,3710744,242,"Биология - 74
Химия - 80 Русский язык - 78",10,,1,Нет
485,3940709,242,"Биология - 71
Химия - 91 Русский язык - 75",5,,3,Нет
486,4140036,241,"Биология - 85
Химия - 86 Русский язык - 69",1,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
487,4235301,241,"Биология - 83
Химия - 82 Русский язык - 66",10,,1,Согласие
488,3872714,241,"Биология - 81
Химия - 88 Русский язык - 72",0,Пр.право,2,Нет
489,4107246,241,"Биология - 81
Химия - 69 Русский язык - 86",5,,1,Нет
490,4219755,241,"Биология - 79
Химия - 90 Русский язык - 72",0,,1,Нет
491,4171693,241,"Биология - 79
Химия - 73 Русский язык - 81",8,,1,Согласие
492,3746616,241,"Биология - 78
Химия - 90 Русский язык - 73",0,Пр.право,1,Нет
493,3594951,241,"Биология - 78
Химия - 88 Русский язык - 75",0,,2,Нет
494,3568827,241,"Биология - 78
Химия - 88 Русский язык - 72",3,,1,Нет
495,4023455,241,"Биология - 77
Химия - 82 Русский язык - 75",7,,1,Нет
496,3616558,241,"Биология - 76
Химия - 93 Русский язык - 72",0,,6,Нет
497,3861048,241,"Биология - 76
Химия - 84 Русский язык - 73",8,,1,Нет
498,3575929,241,"Биология - 75
Химия - 91 Русский язык - 75",0,,1,Нет
499,3866159,241,"Биология - 74
Химия - 84 Русский язык - 78",5,,1,Нет
500,3645513,241,"Биология - 70
Химия - 88 Русский язык - 83",0,,1,Нет
501,3990382,240,"Биология - 88
Химия - 79 Русский язык - 73",0,,1,Нет
502,4059872,240,"Биология - 83
Химия - 84 Русский язык - 73",0,,2,Нет
503,4034624,240,"Биология - 81
Химия - 70 Русский язык - 81",8,,2,Нет
504,4214909,240,"Биология - 77
Химия - 86 Русский язык - 67",10,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
505,4219539,240,"Биология - 77
Химия - 80 Русский язык - 75",8,,1,Нет
506,4214079,240,"Биология - 77
Химия - 77 Русский язык - 78",8,,2,Нет
507,4222314,240,"Биология - 77
Химия - 69 Русский язык - 86",8,,2,Нет
508,3997713,240,"Биология - 75
Химия - 93 Русский язык - 72",0,,2,Согласие
509,3859765,240,"Биология - 75
Химия - 93 Русский язык - 67",5,,2,Нет
510,4208635,240,"Биология - 75
Химия - 80 Русский язык - 75",10,,2,Согласие
511,3625563,240,"Биология - 74
Химия - 77 Русский язык - 81",8,,2,Нет
512,4238084,240,"Биология - 71
Химия - 80 Русский язык - 81",8,,2,Согласие
513,3848132,239,"Биология - 79
Химия - 79 Русский язык - 81",0,,2,Нет
514,3953562,239,"Биология - 78
Химия - 88 Русский язык - 73",0,,2,Нет
515,4012048,239,"Биология - 78
Химия - 88 Русский язык - 73",0,,1,Нет
516,3831784,239,"Биология - 77
Химия - 75 Русский язык - 81",6,,2,Нет
517,3868564,239,"Биология - 76
Химия - 78 Русский язык - 75",10,,2,Нет
518,3620631,239,"Биология - 75
Химия - 97 Русский язык - 67",0,,1,Нет
519,4046519,239,"Биология - 75
Химия - 86 Русский язык - 70",8,,2,Нет
520,4016519,239,"Биология - 75
Химия - 65 Русский язык - 91",8,,2,Нет
521,3850544,239,"Биология - 73
Химия - 78 Русский язык - 78",10,,1,Нет
522,3943382,239,"Биология - 71
Химия - 93 Русский язык - 75",0,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
523,3861978,239,"Биология - 53
Химия - 82 Русский язык - 94",10,,1,Нет
524,4228525,238,"Биология - 81
Химия - 71 Русский язык - 86",0,,1,Нет
525,3823037,238,"Биология - 80
Химия - 84 Русский язык - 69",5,,1,Нет
526,3996168,238,"Биология - 79
Химия - 93 Русский язык - 66",0,,1,Нет
527,3891547,238,"Биология - 78
Химия - 91 Русский язык - 69",0,,2,Нет
528,4019872,238,"Биология - 78
Химия - 80 Русский язык - 70",10,,1,Нет
529,3755875,238,"Биология - 77
Химия - 78 Русский язык - 83",0,,3,Нет
530,4166120,238,"Биология - 75
Химия - 88 Русский язык - 67",8,,9,Нет
531,3842754,238,"Биология - 71
Химия - 86 Русский язык - 81",0,,3,Нет
532,3724331,238,"Биология - 71
Химия - 86 Русский язык - 73",8,,5,Нет
533,3846764,238,"Биология - 70
Химия - 77 Русский язык - 86",5,,4,Нет
534,4033266,238,"Биология - 66
Химия - 97 Русский язык - 67",8,,1,Нет
535,4098235,238,"Биология - 63
Химия - 80 Русский язык - 86",9,,4,Нет
536,4023606,237,"Биология - 85
Химия - 79 Русский язык - 73",0,,1,Нет
537,3560518,237,"Биология - 81
Химия - 90 Русский язык - 60",6,,2,Нет
538,4107378,237,"Биология - 80
Химия - 79 Русский язык - 78",0,,2,Нет
539,3738607,237,"Биология - 79
Химия - 78 Русский язык - 70",10,,2,Нет
540,3945020,237,"Биология - 77
Химия - 84 Русский язык - 73",3,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
541,3733333,237,"Биология - 77
Химия - 78 Русский язык - 75",7,,3,Нет
542,4029092,237,"Биология - 77
Химия - 61 Русский язык - 89",10,,1,Нет
543,4108303,237,"Биология - 76
Химия - 86 Русский язык - 75",0,,1,Нет
544,4140444,237,"Биология - 76
Химия - 86 Русский язык - 72",3,,1,Нет
545,3832768,237,"Биология - 74
Химия - 82 Русский язык - 81",0,,1,Нет
546,3883522,237,"Биология - 74
Химия - 82 Русский язык - 81",0,,1,Нет
547,4048378,237,"Биология - 74
Химия - 73 Русский язык - 83",7,,2,Согласие
548,3871997,237,"Биология - 73
Химия - 88 Русский язык - 69",7,,1,Нет
549,3926495,237,"Биология - 73
Химия - 78 Русский язык - 81",5,,1,Нет
550,3957417,237,"Биология - 72
Химия - 84 Русский язык - 73",8,,1,Нет
551,3612862,237,"Биология - 72
Химия - 79 Русский язык - 86",0,,1,Нет
552,4153542,237,"Биология - 71
Химия - 86 Русский язык - 75",5,,1,Нет
553,3719620,237,"Биология - 68
Химия - 82 Русский язык - 86",1,,1,Нет
554,4231174,236,"Биология - 86
Химия - 80 Русский язык - 67",3,,1,Нет
555,4164644,236,"Биология - 83
Химия - 75 Русский язык - 69",9,,2,Нет
556,3952244,236,"Биология - 80
Химия - 79 Русский язык - 70",7,,2,Нет
557,4228577,236,"Биология - 79
Химия - 78 Русский язык - 69",10,,3,Нет
558,3790298,236,"Биология - 78
Химия - 82 Русский язык - 69",7,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
559,4129715,236,"Биология - 77
Химия - 86 Русский язык - 73",0,,1,Нет
560,3872404,236,"Биология - 73
Химия - 93 Русский язык - 70",0,,2,Нет
561,4055749,236,"Биология - 71
Химия - 86 Русский язык - 69",10,,2,Согласие
562,4132968,236,"Биология - 70
Химия - 90 Русский язык - 69",7,,1,Нет
563,3702170,236,"Биология - 70
Химия - 80 Русский язык - 81",5,,5,Нет
564,4241321,235,"Биология - 86
Химия - 77 Русский язык - 67",5,,3,Нет
565,3694251,235,"Биология - 81
Химия - 73 Русский язык - 78",3,,1,Нет
566,4022092,235,"Биология - 80
Химия - 80 Русский язык - 72",3,,2,Нет
567,4090311,235,"Биология - 74
Химия - 91 Русский язык - 70",0,,1,Нет
568,3944930,235,"Биология - 74
Химия - 80 Русский язык - 81",0,,2,Нет
569,3590009,235,"Биология - 74
Химия - 78 Русский язык - 83",0,,2,Нет
570,3831909,235,"Биология - 72
Химия - 71 Русский язык - 83",9,,3,Согласие
571,3930009,235,"Биология - 70
Химия - 77 Русский язык - 78",10,,3,Нет
572,3603609,234,"Биология - 79
Химия - 86 Русский язык - 69",0,,2,Согласие
573,3586162,234,"Биология - 77
Химия - 93 Русский язык - 61",3,,3,Согласие
574,4025023,234,"Биология - 77
Химия - 90 Русский язык - 67",0,,2,Нет
575,4086001,234,"Биология - 77
Химия - 77 Русский язык - 75",5,,1,Нет
576,4152878,234,"Биология - 76
Химия - 88 Русский язык - 60",10,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
577,3967317,234,"Биология - 76
Химия - 80 Русский язык - 78",0,,1,Нет
578,3950343,234,"Биология - 76
Химия - 78 Русский язык - 75",5,,3,Нет
579,4173783,234,"Биология - 75
Химия - 88 Русский язык - 69",2,,4,Нет
580,3583440,234,"Биология - 75
Химия - 68 Русский язык - 83",8,,1,Нет
581,4247454,234,"Биология - 74
Химия - 88 Русский язык - 66",6,,2,Нет
582,4204327,234,"Биология - 73
Химия - 70 Русский язык - 81",10,,1,Нет
583,3823845,233,"Биология - 88
Химия - 71 Русский язык - 66",8,,4,Нет
584,4147484,233,"Биология - 83
Химия - 75 Русский язык - 75",0,,7,Нет
585,4105585,233,"Биология - 81
Химия - 82 Русский язык - 70",0,Пр.право,9,Нет
586,3781144,233,"Биология - 79
Химия - 84 Русский язык - 70",0,,2,Согласие
587,3757898,233,"Биология - 79
Химия - 79 Русский язык - 75",0,,1,Нет
588,3612835,233,"Биология - 78
Химия - 77 Русский язык - 75",3,,2,Нет
589,4098790,233,"Биология - 76
Химия - 74 Русский язык - 78",5,,1,Нет
590,4199879,233,"Биология - 74
Химия - 77 Русский язык - 72",10,,1,Нет
591,4062760,233,"Биология - 73
Химия - 82 Русский язык - 78",0,,7,Нет
592,3577037,233,"Биология - 73
Химия - 69 Русский язык - 81",10,,5,Нет
593,4033876,232,"Биология - 90
Химия - 61 Русский язык - 81",0,,1,Нет
594,4080778,232,"Биология - 85
Химия - 65 Русский язык - 72",10,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
595,4044734,232,"Биология - 83
Химия - 58 Русский язык - 81",10,,1,Согласие
596,3929095,232,"Биология - 80
Химия - 79 Русский язык - 73",0,,2,Нет
597,3934429,232,"Биология - 80
Химия - 69 Русский язык - 73",10,,3,Согласие
598,3910403,232,"Биология - 79
Химия - 73 Русский язык - 72",8,,3,Нет
599,3674825,232,"Биология - 79
Химия - 62 Русский язык - 81",10,,2,Нет
600,4100083,232,"Биология - 78
Химия - 71 Русский язык - 73",10,,4,Нет
601,4012539,232,"Биология - 77
Химия - 90 Русский язык - 61",4,,2,Нет
602,4132062,232,"Биология - 77
Химия - 84 Русский язык - 61",10,,1,Согласие
603,4167256,232,"Биология - 77
Химия - 82 Русский язык - 73",0,,1,Нет
604,4035066,232,"Биология - 74
Химия - 86 Русский язык - 72",0,,2,Нет
605,3939568,232,"Биология - 73
Химия - 82 Русский язык - 69",8,,1,Нет
606,3802488,232,"Биология - 71
Химия - 88 Русский язык - 73",0,,1,Нет
607,4023051,232,"Биология - 71
Химия - 84 Русский язык - 73",4,,2,Нет
608,4226359,231,"Биология - 78
Химия - 78 Русский язык - 75",0,,1,Нет
609,4248864,231,"Биология - 78
Химия - 70 Русский язык - 83",0,,1,Нет
610,3615746,231,"Биология - 77
Химия - 79 Русский язык - 70",5,,1,Нет
611,3917396,231,"Биология - 76
Химия - 70 Русский язык - 75",10,,2,Нет
612,3871209,231,"Биология - 76
Химия - 64 Русский язык - 83",8,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
613,3870820,231,"Биология - 74
Химия - 82 Русский язык - 70",5,,3,Нет
614,3945973,231,"Биология - 73
Химия - 78 Русский язык - 72",8,,3,Нет
615,3944440,231,"Биология - 73
Химия - 74 Русский язык - 75",9,,1,Нет
616,3920893,231,"Биология - 71
Химия - 91 Русский язык - 69",0,,1,Нет
617,3835837,231,"Биология - 71
Химия - 86 Русский язык - 69",5,,2,Нет
618,3838306,231,"Биология - 71
Химия - 77 Русский язык - 75",8,,1,Нет
619,3857264,231,"Биология - 71
Химия - 75 Русский язык - 75",10,,1,Нет
620,3615055,231,"Биология - 71
Химия - 69 Русский язык - 86",5,,1,Нет
621,4005097,230,"Биология - 85
Химия - 62 Русский язык - 78",5,,1,Нет
622,4020056,230,"Биология - 83
Химия - 79 Русский язык - 67",1,,2,Нет
623,3792010,230,"Биология - 81
Химия - 80 Русский язык - 69",0,,2,Нет
624,4064076,230,"Биология - 79
Химия - 75 Русский язык - 70",6,,2,Нет
625,4031464,230,"Биология - 78
Химия - 80 Русский язык - 70",2,,1,Нет
626,3875751,230,"Биология - 77
Химия - 86 Русский язык - 67",0,,1,Нет
627,3655679,230,"Биология - 77
Химия - 79 Русский язык - 67",7,,2,Нет
628,3945502,230,"Биология - 76
Химия - 80 Русский язык - 69",5,,2,Нет
629,3948332,230,"Биология - 76
Химия - 73 Русский язык - 73",8,Пр.право,3,Нет
630,4090876,230,"Биология - 75
Химия - 77 Русский язык - 75",3,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
631,4159949,230,"Биология - 75
Химия - 77 Русский язык - 75",3,,1,Нет
632,3961260,230,"Биология - 74
Химия - 79 Русский язык - 75",2,,2,Согласие
633,3814425,230,"Биология - 73
Химия - 91 Русский язык - 64",2,,3,Нет
634,4222969,230,"Биология - 73
Химия - 80 Русский язык - 67",10,,2,Нет
635,3584707,230,"Биология - 73
Химия - 73 Русский язык - 78",6,,1,Нет
636,3866234,230,"Биология - 71
Химия - 86 Русский язык - 73",0,,2,Нет
637,3822845,230,"Биология - 70
Химия - 86 Русский язык - 70",4,,1,Нет
638,3866446,230,"Биология - 68
Химия - 71 Русский язык - 86",5,,3,Нет
639,3886139,230,"Биология - 60
Химия - 79 Русский язык - 81",10,,2,Согласие
640,4202831,229,"Биология - 81
Химия - 73 Русский язык - 69",6,,1,Нет
641,4134330,229,"Биология - 81
Химия - 71 Русский язык - 72",5,,2,Нет
642,3634583,229,"Биология - 80
Химия - 82 Русский язык - 67",0,,2,Нет
643,3926095,229,"Биология - 79
Химия - 75 Русский язык - 75",0,,2,Нет
644,3921956,229,"Биология - 79
Химия - 70 Русский язык - 70",10,,2,Согласие
645,4033330,229,"Биология - 78
Химия - 78 Русский язык - 66",7,,1,Нет
646,4247090,229,"Биология - 78
Химия - 69 Русский язык - 72",10,,2,Нет
647,4006366,229,"Биология - 77
Химия - 88 Русский язык - 64",0,,3,Нет
648,4002478,229,"Биология - 76
Химия - 75 Русский язык - 70",8,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
649,4027614,229,"Биология - 74
Химия - 75 Русский язык - 73",7,,3,Нет
650,4088514,229,"Биология - 74
Химия - 75 Русский язык - 70",10,,2,Нет
651,3586578,229,"Биология - 73
Химия - 86 Русский язык - 63",7,,3,Нет
652,3870082,229,"Биология - 71
Химия - 88 Русский язык - 70",0,,1,Нет
653,3847857,229,"Биология - 71
Химия - 82 Русский язык - 66",10,Пр.право,2,Согласие
654,3602112,229,"Биология - 70
Химия - 73 Русский язык - 81",5,,1,Нет
655,3754015,229,"Биология - 66
Химия - 77 Русский язык - 86",0,,4,Нет
656,3603816,228,"Биология - 78
Химия - 75 Русский язык - 75",0,,2,Нет
657,3993666,228,"Биология - 77
Химия - 71 Русский язык - 70",10,,1,Согласие
658,3958492,228,"Биология - 77
Химия - 69 Русский язык - 75",7,,2,Нет
659,4245950,228,"Биология - 75
Химия - 75 Русский язык - 75",3,,2,Согласие
660,3904912,228,"Биология - 74
Химия - 82 Русский язык - 69",3,,4,Нет
661,3994735,228,"Биология - 73
Химия - 78 Русский язык - 72",5,,2,Согласие
662,3954748,228,"Биология - 72
Химия - 84 Русский язык - 67",5,,2,Нет
663,4245064,228,"Биология - 72
Химия - 68 Русский язык - 83",5,,2,Нет
664,4009258,228,"Биология - 71
Химия - 84 Русский язык - 70",3,,2,Нет
665,3993619,228,"Биология - 71
Химия - 73 Русский язык - 78",6,,3,Нет
666,3828885,228,"Биология - 70
Химия - 91 Русский язык - 67",0,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
667,3994539,228,"Биология - 68
Химия - 75 Русский язык - 75",10,,1,Нет
668,3578862,228,"Биология - 66
Химия - 79 Русский язык - 83",0,,2,Согласие
669,4174810,228,"Биология - 61
Химия - 82 Русский язык - 75",10,Пр.право,3,Нет
670,3972887,227,"Биология - 83
Химия - 74 Русский язык - 70",0,,1,Нет
671,3632965,227,"Биология - 80
Химия - 78 Русский язык - 69",0,,1,Нет
672,3580347,227,"Биология - 79
Химия - 75 Русский язык - 73",0,,2,Нет
673,3616846,227,"Биология - 79
Химия - 70 Русский язык - 78",0,,4,Нет
674,3600327,227,"Биология - 79
Химия - 70 Русский язык - 75",3,,1,Нет
675,3832317,227,"Биология - 78
Химия - 90 Русский язык - 58",1,,1,Нет
676,3861908,227,"Биология - 78
Химия - 74 Русский язык - 75",0,,1,Нет
677,3873423,227,"Биология - 77
Химия - 78 Русский язык - 72",0,,2,Нет
678,3572982,227,"Биология - 76
Химия - 79 Русский язык - 72",0,,1,Нет
679,4068409,227,"Биология - 76
Химия - 77 Русский язык - 69",5,,2,Нет
680,3638611,227,"Биология - 75
Химия - 70 Русский язык - 72",10,,2,Нет
681,4037182,227,"Биология - 74
Химия - 77 Русский язык - 73",3,,2,Согласие
682,3993999,227,"Биология - 72
Химия - 88 Русский язык - 67",0,,8,Нет
683,3854777,227,"Биология - 66
Химия - 91 Русский язык - 70",0,,2,Нет
684,3931294,226,"Биология - 85
Химия - 70 Русский язык - 66",5,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
685,4164309,226,"Биология - 80
Химия - 82 Русский язык - 64",0,,1,Нет
686,4013219,226,"Биология - 75
Химия - 73 Русский язык - 73",5,,1,Согласие
687,3844196,226,"Биология - 74
Химия - 80 Русский язык - 69",3,,2,Нет
688,3874502,226,"Биология - 74
Химия - 79 Русский язык - 66",7,,1,Нет
689,3839649,226,"Биология - 74
Химия - 77 Русский язык - 75",0,Пр.право,3,Нет
690,3937416,226,"Биология - 73
Химия - 79 Русский язык - 69",5,,2,Нет
691,3749950,226,"Биология - 72
Химия - 82 Русский язык - 64",8,,4,Нет
692,3954245,226,"Биология - 72
Химия - 73 Русский язык - 73",8,,2,Нет
693,4179868,226,"Биология - 71
Химия - 70 Русский язык - 85",0,,2,Нет
694,3832984,226,"Биология - 70
Химия - 78 Русский язык - 75",3,,2,Согласие
695,3875590,226,"Биология - 66
Химия - 71 Русский язык - 81",8,,2,Нет
696,3957066,225,"Биология - 85
Химия - 80 Русский язык - 60",0,,2,Нет
697,4074750,225,"Биология - 83
Химия - 71 Русский язык - 66",5,,2,Нет
698,3868834,225,"Биология - 83
Химия - 61 Русский язык - 78",3,,1,Нет
699,3874589,225,"Биология - 79
Химия - 75 Русский язык - 69",2,,1,Нет
700,4067149,225,"Биология - 79
Химия - 75 Русский язык - 63",8,,2,Согласие
701,4230433,225,"Биология - 79
Химия - 70 Русский язык - 70",6,,1,Нет
702,3891569,225,"Биология - 79
Химия - 68 Русский язык - 78",0,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
703,3640690,225,"Биология - 78
Химия - 78 Русский язык - 63",6,,1,Нет
704,3945490,225,"Биология - 77
Химия - 73 Русский язык - 70",5,,2,Нет
705,3962580,225,"Биология - 77
Химия - 68 Русский язык - 70",10,,1,Нет
706,4103818,225,"Биология - 75
Химия - 77 Русский язык - 72",1,,2,Нет
707,4192387,225,"Биология - 75
Химия - 74 Русский язык - 69",7,,1,Нет
708,4212235,225,"Биология - 74
Химия - 93 Русский язык - 55",3,,1,Нет
709,3848763,225,"Биология - 74
Химия - 79 Русский язык - 67",5,,2,Нет
710,3969909,225,"Биология - 73
Химия - 73 Русский язык - 72",7,,1,Согласие
711,3999368,225,"Биология - 72
Химия - 80 Русский язык - 67",6,,2,Нет
712,4172590,225,"Биология - 71
Химия - 66 Русский язык - 78",10,,1,Нет
713,3650623,225,"Биология - 68
Химия - 82 Русский язык - 75",0,,2,Нет
714,3846974,225,"Биология - 68
Химия - 71 Русский язык - 86",0,,2,Нет
715,3950976,225,"Биология - 68
Химия - 61 Русский язык - 86",10,,1,Нет
716,3568476,225,"Биология - 60
Химия - 79 Русский язык - 83",3,,1,Нет
717,3651254,225,"Биология - 58
Химия - 74 Русский язык - 86",7,,2,Нет
718,3681836,225,"Биология - 56
Химия - 80 Русский язык - 81",8,Пр.право,2,Нет
719,3591867,224,"Биология - 77
Химия - 80 Русский язык - 67",0,,2,Нет
720,3902053,224,"Биология - 77
Химия - 77 Русский язык - 70",0,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
721,3569457,224,"Биология - 77
Химия - 74 Русский язык - 73",0,,1,Нет
722,3957616,224,"Биология - 77
Химия - 73 Русский язык - 64",10,,2,Нет
723,4016730,224,"Биология - 74
Химия - 78 Русский язык - 72",0,,1,Нет
724,3951039,224,"Биология - 74
Химия - 70 Русский язык - 78",2,,2,Нет
725,4022047,224,"Биология - 74
Химия - 61 Русский язык - 81",8,,2,Нет
726,3849038,224,"Биология - 73
Химия - 84 Русский язык - 67",0,,2,Нет
727,4082035,224,"Биология - 73
Химия - 69 Русский язык - 72",10,,2,Нет
728,3952930,224,"Биология - 72
Химия - 79 Русский язык - 73",0,,2,Нет
729,3761854,224,"Биология - 72
Химия - 66 Русский язык - 86",0,,1,Нет
730,3894754,224,"Биология - 65
Химия - 68 Русский язык - 81",10,,2,Нет
731,4236409,224,"Биология - 63
Химия - 71 Русский язык - 81",9,,1,Согласие
732,4230441,223,"Биология - 78
Химия - 73 Русский язык - 67",5,,4,Нет
733,4032391,223,"Биология - 76
Химия - 74 Русский язык - 73",0,,1,Нет
734,4100090,223,"Биология - 74
Химия - 88 Русский язык - 61",0,,1,Нет
735,3575440,223,"Биология - 74
Химия - 82 Русский язык - 67",0,Пр.право,1,Нет
736,3571210,223,"Биология - 74
Химия - 79 Русский язык - 70",0,,2,Согласие
737,4231034,223,"Биология - 74
Химия - 75 Русский язык - 67",7,,3,Нет
738,4094633,223,"Биология - 73
Химия - 65 Русский язык - 85",0,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
739,3579859,223,"Биология - 71
Химия - 77 Русский язык - 67",8,Пр.право,2,Нет
740,3757671,223,"Биология - 68
Химия - 84 Русский язык - 61",10,,2,Нет
741,4125634,223,"Биология - 65
Химия - 82 Русский язык - 66",10,,1,Согласие
742,3922390,223,"Биология - 61
Химия - 90 Русский язык - 72",0,,1,Нет
743,3646097,222,"Биология - 76
Химия - 86 Русский язык - 60",0,,1,Нет
744,3614935,222,"Биология - 76
Химия - 70 Русский язык - 73",3,,1,Нет
745,3909237,222,"Биология - 75
Химия - 86 Русский язык - 58",3,,2,Нет
746,3946436,222,"Биология - 75
Химия - 80 Русский язык - 67",0,,2,Нет
747,4120900,222,"Биология - 74
Химия - 73 Русский язык - 72",3,,1,Нет
748,3621735,222,"Биология - 74
Химия - 70 Русский язык - 78",0,,1,Нет
749,3909929,222,"Биология - 74
Химия - 69 Русский язык - 72",7,,1,Нет
750,3695028,222,"Биология - 71
Химия - 82 Русский язык - 69",0,,2,Нет
751,3828080,222,"Биология - 71
Химия - 75 Русский язык - 70",6,,2,Нет
752,3698176,222,"Биология - 71
Химия - 70 Русский язык - 73",8,,2,Нет
753,3952469,222,"Биология - 68
Химия - 77 Русский язык - 72",5,,2,Нет
754,3582100,222,"Биология - 68
Химия - 73 Русский язык - 75",6,,2,Нет
755,3653157,222,"Биология - 63
Химия - 71 Русский язык - 83",5,,1,Нет
756,3972810,221,"Биология - 100
Химия - 49 Русский язык - 69",3,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
757,3972493,221,"Биология - 86
Химия - 60 Русский язык - 72",3,,4,Нет
758,3835448,221,"Биология - 76
Химия - 90 Русский язык - 55",0,,1,Нет
759,3856890,221,"Биология - 75
Химия - 79 Русский язык - 67",0,,1,Нет
760,3828463,221,"Биология - 74
Химия - 73 Русский язык - 64",10,,3,Нет
761,3730724,221,"Биология - 73
Химия - 68 Русский язык - 75",5,,2,Нет
762,3643349,221,"Биология - 71
Химия - 75 Русский язык - 75",0,,1,Нет
763,4035288,221,"Биология - 71
Химия - 56 Русский язык - 89",5,,2,Нет
764,3609381,221,"Биология - 65
Химия - 84 Русский язык - 69",3,,3,Нет
765,3957196,221,"Биология - 65
Химия - 80 Русский язык - 75",1,,1,Нет
766,3633169,221,"Биология - 65
Химия - 75 Русский язык - 81",0,,2,Нет
767,4003118,221,"Биология - 63
Химия - 78 Русский язык - 70",10,,2,Нет
768,4169907,221,"Биология - 61
Химия - 77 Русский язык - 83",0,,1,Нет
769,4021863,221,"Биология - 60
Химия - 90 Русский язык - 64",7,,1,Нет
770,3628717,220,"Биология - 77
Химия - 80 Русский язык - 63",0,,6,Нет
771,4082746,220,"Биология - 77
Химия - 66 Русский язык - 69",8,Пр.право,1,Нет
772,3821999,220,"Биология - 76
Химия - 70 Русский язык - 69",5,,2,Нет
773,3619339,220,"Биология - 74
Химия - 77 Русский язык - 69",0,,1,Нет
774,4097847,220,"Биология - 74
Химия - 74 Русский язык - 66",6,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
775,4088904,220,"Биология - 74
Химия - 73 Русский язык - 73",0,,3,Нет
776,4231532,220,"Биология - 73
Химия - 78 Русский язык - 69",0,,1,Нет
777,3927413,220,"Биология - 72
Химия - 68 Русский язык - 70",10,,1,Согласие
778,3894086,220,"Биология - 71
Химия - 80 Русский язык - 69",0,,1,Нет
